episode_index,total_reward,total_time,tests_run,bugs_found,strategy_index,strategy_name,changed_module,change_size
237,-10.322341650364196,166.4468330072839,20,0,3,high_risk_first,notifications,large
238,-15.155766492355879,263.11532984711744,20,0,3,high_risk_first,auth,medium
239,27.530429405085787,209.39141189828433,20,4,3,high_risk_first,profile,small
240,-10.449563025988049,168.99126051976094,20,0,3,high_risk_first,search,medium
241,6.590892115515604,228.18215768968793,20,2,3,high_risk_first,profile,large
242,-11.839676293034024,196.79352586068046,20,0,3,high_risk_first,search,small
243,-2.7650403354648114,215.3008067092962,20,1,3,high_risk_first,notifications,large
244,-11.493082398882587,189.86164797765173,20,0,3,high_risk_first,search,medium
245,-10.7898020943782,175.79604188756403,20,0,3,high_risk_first,payments,small
246,-11.765227163500429,195.30454327000862,20,0,3,high_risk_first,auth,small
247,-13.232984227565593,224.6596845513118,20,0,3,high_risk_first,profile,medium
248,-12.580762434704276,211.61524869408552,20,0,3,high_risk_first,checkout,small
249,-10.93375755894146,178.6751511788292,20,0,3,high_risk_first,payments,medium
250,-11.056545273167258,181.13090546334521,20,0,3,high_risk_first,search,large
251,8.698350299035564,186.0329940192887,20,2,3,high_risk_first,notifications,large
252,-29.36996854535664,147.39937090713283,20,0,3,high_risk_first,notifications,large
253,-14.119024762265633,242.38049524531266,20,0,3,high_risk_first,search,small
254,-11.857361244567986,197.14722489135966,20,0,3,high_risk_first,search,medium
255,-10.78608540429877,175.72170808597534,20,0,3,high_risk_first,checkout,medium
256,-12.290054822795808,205.80109645591617,20,0,3,high_risk_first,profile,small
257,-10.627121396608015,172.54242793216028,20,0,3,high_risk_first,notifications,small
258,-12.527680245609115,210.55360491218235,20,0,3,high_risk_first,auth,large
259,-11.1923613553407,183.84722710681407,20,0,3,high_risk_first,notifications,small
260,75.83410925374024,243.31781492519522,20,9,3,high_risk_first,payments,small
261,-11.558610462386499,191.17220924773,20,0,3,high_risk_first,search,medium
262,16.132113763920874,237.35772472158249,20,3,3,high_risk_first,auth,large
263,-10.925830881380252,178.516617627605,20,0,3,high_risk_first,search,small
264,7.915704605939613,201.68590788120778,20,2,3,high_risk_first,payments,medium
265,16.915706628166085,221.68586743667834,20,3,3,high_risk_first,search,large
266,36.184176585580886,236.31646828838242,20,5,3,high_risk_first,payments,small
267,17.21032338907785,215.79353221844306,20,3,3,high_risk_first,payments,small
268,-11.39101148206585,187.82022964131698,20,0,3,high_risk_first,checkout,small
269,-9.127851145329156,142.55702290658314,20,0,3,high_risk_first,search,small
270,-32.09450953363643,201.89019067272872,20,0,3,high_risk_first,profile,medium
271,-11.560020475157954,191.2004095031591,20,0,3,high_risk_first,payments,large
272,-13.591297819245208,231.82595638490415,20,0,3,high_risk_first,profile,small
273,-1.1394002816379074,182.78800563275814,20,1,3,high_risk_first,notifications,small
274,8.378540191640617,192.42919616718765,20,2,3,high_risk_first,notifications,small
275,-17.018142063435945,300.36284126871897,20,1,3,high_risk_first,search,small
276,-12.067452515086808,201.34905030173607,20,0,3,high_risk_first,notifications,small
277,-12.860679340115338,217.21358680230674,20,0,3,high_risk_first,checkout,medium
278,-9.50537057453005,150.10741149060095,20,0,3,high_risk_first,auth,large
279,17.604900710649385,207.90198578701222,20,3,3,high_risk_first,payments,medium
280,78.49340788225253,190.13184235494944,20,9,3,high_risk_first,auth,small
281,-14.790096753293792,255.80193506587568,20,0,3,high_risk_first,notifications,small
282,-13.664577873979779,233.29155747959553,20,0,3,high_risk_first,payments,small
283,-27.1492477988626,306.984955977252,18,0,3,high_risk_first,notifications,medium
284,-27.885375393745868,317.7075078749174,20,0,3,high_risk_first,payments,small
285,60.8004489376436,143.99102124712795,20,7,3,high_risk_first,checkout,medium
286,6.130897428396485,237.38205143207028,20,2,3,high_risk_first,payments,medium
287,6.969825578478837,220.60348843042325,20,2,3,high_risk_first,checkout,small
288,-16.311722722637814,286.2344544527562,20,0,3,high_risk_first,payments,small
289,-12.605562161451145,212.11124322902293,20,0,3,high_risk_first,notifications,small
290,-7.592567526099174,111.85135052198348,20,0,3,high_risk_first,auth,large
291,-47.391864129546164,307.8372825909232,20,0,3,high_risk_first,payments,small
292,-12.611610322975265,212.23220645950525,20,0,3,high_risk_first,auth,medium
293,-0.19767233739762968,163.95344674795265,20,1,3,high_risk_first,checkout,medium
294,-12.289138836940705,205.78277673881405,20,0,3,high_risk_first,profile,medium
295,9.73013493619192,165.39730127616158,20,2,3,high_risk_first,checkout,medium
296,-11.295951020201894,185.91902040403787,20,0,3,high_risk_first,search,medium
297,6.005463836547442,239.89072326905125,20,2,3,high_risk_first,search,small
298,8.177126528760247,196.4574694247951,20,2,3,high_risk_first,auth,medium
299,6.3850375805990405,232.29924838801915,20,2,3,high_risk_first,notifications,medium
300,-27.969217266352402,321.38434532704804,19,0,3,high_risk_first,payments,small
301,-11.784390158376118,195.6878031675223,20,0,3,high_risk_first,checkout,small
302,18.58499131584624,188.30017368307531,20,3,3,high_risk_first,checkout,medium
303,-8.863820620090435,137.27641240180867,20,0,3,high_risk_first,auth,large
304,25.73642119370654,245.2715761258693,20,4,3,high_risk_first,search,small
305,-14.572440679952166,251.44881359904332,20,0,3,high_risk_first,notifications,medium
306,-11.445700820461795,188.91401640923587,20,0,3,high_risk_first,profile,small
307,6.69591795265892,226.08164094682158,20,2,3,high_risk_first,auth,small
308,-10.507248693015738,170.14497386031476,20,0,3,high_risk_first,search,large
309,36.921137111849745,221.57725776300518,20,5,3,high_risk_first,profile,small
310,-15.824078939291464,276.4815787858292,20,0,3,high_risk_first,profile,small
311,-16.410481862661186,288.2096372532238,20,0,3,high_risk_first,auth,large
312,40.00139206366558,159.97215872668855,20,5,3,high_risk_first,checkout,large
313,-29.393650723417355,147.87301446834715,20,0,3,high_risk_first,notifications,large
314,-10.49521306047654,169.9042612095308,20,0,3,high_risk_first,search,medium
